order_id,order_date,year,month,quarter,customer_id,region,country,category,subcategory,quantity,unit_price,discount,revenue,profit,aov,profit_margin,payment_method,shipping_mode
100023,2024-06-11,2024,Jun,Q2,C1185,North America,United States,Clothing,Shoes,5,73,0.18,299.3,44.32,59.86,0.1480788506515202,Bank Transfer,Standard
100024,2024-07-17,2024,Jul,Q3,C2186,South America,Chile,Clothing,Shoes,5,174,0.22,678.6,185.76,135.72,0.27374005305039784,Bank Transfer,Standard
100025,2023-07-05,2023,Jul,Q3,C2152,Europe,France,Furniture,Lamp,7,1363,0.09,8682.31,1022.95,1240.33,0.11782002715867092,PayPal,Express
100026,2023-05-24,2023,May,Q2,C2472,South America,Brazil,Clothing,Pants,8,261,0.08,1920.96,447.47,240.12,0.23294082125603865,PayPal,Express
100027,2023-02-18,2023,Feb,Q1,C1508,Europe,Italy,Electronics,Laptop,3,1155,0.03,3361.05,689.15,1120.3500000000001,0.20504009163802978,PayPal,Same-Day
100028,2024-02-03,2024,Feb,Q1,C2796,Asia-Pacific,South Korea,Clothing,Shoes,3,27,0.3,56.7,9.6599,18.900000000000002,0.17036860670194004,Credit Card,Standard
100029,2023-02-19,2023,Feb,Q1,C2092,Europe,Germany,Clothing,Jacket,1,151,0.2,120.8,31.71,120.8,0.2625,PayPal,Same-Day
100030,2024-09-17,2024,Sep,Q3,C2263,North America,Mexico,Furniture,Chair,10,1387,0.01,13731.3,3054.7,1373.1299999999999,0.22246254906673074,PayPal,Express
100031,2023-07-04,2023,Jul,Q3,C2543,South America,Chile,Clothing,Shoes,6,20,0.03,116.4,13.75,19.400000000000002,0.11812714776632302,PayPal,Standard
100032,2023-04-17,2023,Apr,Q2,C2390,North America,Mexico,Clothing,Shirt,5,171,0,855,116.36,171,0.136093567251462,PayPal,Express
100033,2024-05-05,2024,May,Q2,C1610,Asia-Pacific,Australia,Electronics,Smartphone,7,1829,0.21,10114.37,1987.8,1444.91,0.19653226053624692,Bank Transfer,Standard
100034,2024-03-08,2024,Mar,Q1,C2076,North America,Mexico,Clothing,Pants,7,251,0.02,1721.86,501.55,245.98,0.29128384421497683,Bank Transfer,Same-Day
100035,2023-10-29,2023,Oct,Q4,C2058,South America,Chile,Furniture,Lamp,8,1391,0.06,10460.32,2435.61,1307.54,0.232842781100387,Bank Transfer,Standard
100036,2024-06-19,2024,Jun,Q2,C1075,North America,United States,Clothing,Pants,1,24,0.28,46.4384,9.6599,46.4384,0.2080153493660419,Credit Card,Standard
100037,2024-04-05,2024,Apr,Q2,C2298,North America,United States,Electronics,Smartphone,9,497,0.12,3936.24,1344.01,437.35999999999996,0.34144513545922,Credit Card,Express
100038,2024-05-17,2024,May,Q2,C1144,Europe,United Kingdom,Electronics,Television,7,1116,0.2,6249.6,2378.87,892.8000000000001,0.380643561187916,Bank Transfer,Express
100039,2024-06-22,2024,Jun,Q2,C2756,Europe,Italy,Clothing,Jacket,2,10,0.1,46.4384,9.6599,23.2192,0.2080153493660419,PayPal,Express
100040,2023-05-24,2023,May,Q2,C1655,Asia-Pacific,China,Clothing,Jacket,1,84,0.18,68.88,10.78,68.88,0.1565040650406504,Credit Card,Standard
100041,2023-08-02,2023,Aug,Q3,C2151,North America,United States,Clothing,Shirt,6,212,0.03,1233.84,423.48,205.64,0.3432211631978215,Bank Transfer,Standard
100042,2023-10-31,2023,Oct,Q4,C2580,Asia-Pacific,China,Clothing,Pants,1,188,0.07,174.84,50,174.84,0.285975749256463,Bank Transfer,Express
100043,2024-08-15,2024,Aug,Q3,C2100,Asia-Pacific,China,Electronics,Smartphone,3,1174,0.17,2923.26,775.36,974.4200000000001,0.265238124559567,Credit Card,Same-Day
100044,2023-06-02,2023,Jun,Q2,C1391,Asia-Pacific,South Korea,Clothing,Pants,7,69,0.2,386.4,119.73,55.199999999999996,0.309860248447205,PayPal,Express
100045,2024-07-03,2024,Jul,Q3,C2458,South America,Brazil,Electronics,Smartphone,9,322,0.2,2318.4,820.95,257.6,0.354101966873706,PayPal,Same-Day
100046,2024-03-15,2024,Mar,Q1,C2471,South America,Argentina,Electronics,Smartphone,9,834,0.28,5404.32,1236.26,600.48,0.22875403380998904,Bank Transfer,Standard
100047,2024-03-07,2024,Mar,Q1,C1191,North America,United States,Electronics,Smartphone,2,326,0,652,194.23,326,0.29789877300613493,Bank Transfer,Same-Day
100048,2024-02-12,2024,Feb,Q1,C2075,Europe,France,Clothing,Pants,5,164,0.12,721.6,267.42,144.32,0.3705931263858093,Credit Card,Standard
100049,2024-05-31,2024,May,Q2,C1952,Europe,United Kingdom,Clothing,Shoes,8,66,0.1,475.2,116.12,59.4,0.2443602693602694,Bank Transfer,Express
100050,2024-02-17,2024,Feb,Q1,C1196,Europe,Spain,Electronics,Television,7,1199,0.28,6042.96,889.63,863.28,0.14721758873135019,Credit Card,Standard
100051,2024-05-09,2024,May,Q2,C2344,South America,Chile,Clothing,Jacket,10,217,0.01,2148.3,488.83,214.83,0.22754270818786945,Bank Transfer,Same-Day
100052,2023-11-21,2023,Nov,Q4,C1463,Europe,United Kingdom,Furniture,Table,3,1030,0.14,2657.4,481.83,885.8000000000001,0.18131632422668773,Bank Transfer,Standard
100053,2023-12-02,2023,Dec,Q4,C1279,South America,Chile,Furniture,Table,6,347,0.13,1811.34,593.97,301.89,0.3279174533770579,Credit Card,Express
100054,2023-12-29,2023,Dec,Q4,C1001,Europe,Italy,Electronics,Television,3,1030,0.17,2564.7,642.38,854.9,0.2504698405271572,Bank Transfer,Express
100055,2023-02-10,2023,Feb,Q1,C2387,Europe,United Kingdom,Clothing,Pants,1,217,0,217,56.13,217,0.2586635944700461,Credit Card,Same-Day
100056,2023-07-01,2023,Jul,Q3,C2150,Asia-Pacific,Japan,Electronics,Smartphone,4,1528,0.16,5134.08,527.43,1283.52,0.10273116118175017,PayPal,Express
100057,2024-08-21,2024,Aug,Q3,C1770,Asia-Pacific,India,Clothing,Pants,1,202,0.2,161.6,25.78,161.6,0.15952970297029703,PayPal,Same-Day
100058,2023-04-14,2023,Apr,Q2,C1577,Europe,Spain,Electronics,Laptop,7,1233,0.02,8458.38,1461.53,1208.34,0.17279077080954036,Bank Transfer,Express
100059,2023-01-15,2023,Jan,Q1,C1131,Asia-Pacific,Australia,Clothing,Shoes,10,163,0.18,1336.6,205.19,133.66,0.15351638485710012,PayPal,Standard
100060,2023-11-04,2023,Nov,Q4,C1987,North America,United States,Electronics,Television,9,886,0.13,6937.38,2665.75,770.82,0.3842588988926655,Credit Card,Same-Day
100061,2024-06-07,2024,Jun,Q2,C1883,South America,Chile,Furniture,Chair,2,1320,0.21,2085.6,330.2,1042.8,0.15832374376678174,Bank Transfer,Express
100062,2024-12-25,2024,Dec,Q4,C2707,North America,Mexico,Clothing,Jacket,6,86,0.07,479.88,98.63,79.98,0.20553054930399264,PayPal,Express
100063,2024-01-22,2024,Jan,Q1,C2828,Asia-Pacific,South Korea,Electronics,Television,1,1276,0.19,1033.56,182.41,1033.56,0.17648709315375982,PayPal,Express
100064,2023-10-27,2023,Oct,Q4,C1460,Asia-Pacific,South Korea,Electronics,Laptop,2,1103,0.15,1875.1,578.99,937.55,0.30877819849608024,Bank Transfer,Standard
100065,2023-09-21,2023,Sep,Q3,C1711,Asia-Pacific,India,Furniture,Lamp,6,649,0.13,3387.78,957.69,564.63,0.2826895489081345,Bank Transfer,Same-Day
100066,2024-10-09,2024,Oct,Q4,C1681,Europe,Italy,Furniture,Sofa,8,974,0.19,6311.52,1672.5,788.94,0.2649916343448171,Credit Card,Express
100067,2023-01-23,2023,Jan,Q1,C2267,North America,Canada,Furniture,Lamp,4,423,0.04,1624.32,426.78,406.08,0.2627437943262411,Bank Transfer,Express
100068,2024-04-26,2024,Apr,Q2,C2341,Asia-Pacific,Japan,Clothing,Shoes,9,181,0.03,1580.13,416.73,175.57000000000002,0.26373146513261564,Credit Card,Standard
100069,2023-06-03,2023,Jun,Q2,C1215,Asia-Pacific,Australia,Electronics,Smartphone,3,956,0.14,2466.48,293.56,822.16,0.11901981771593526,Credit Card,Standard
100070,2024-06-11,2024,Jun,Q2,C1155,South America,Argentina,Furniture,Chair,9,349,0.11,2795.49,825.39,310.60999999999996,0.2952577186825923,Credit Card,Standard
100071,2023-02-18,2023,Feb,Q1,C2246,South America,Argentina,Electronics,Television,8,945,0.05,7182,1964.39,897.75,0.2735157337788917,PayPal,Express
100072,2024-11-17,2024,Nov,Q4,C2400,South America,Argentina,Furniture,Chair,7,608,0.07,3958.08,653.55,565.4399999999999,0.16511793596895463,PayPal,Standard
100073,2024-12-08,2024,Dec,Q4,C2794,Europe,Italy,Clothing,Jacket,9,53,0.23,367.29,132.43,40.81,0.3605597756541153,Credit Card,Standard
100074,2024-10-15,2024,Oct,Q4,C2748,Asia-Pacific,Japan,Electronics,Tablet,7,1097,0.08,7064.68,1613.46,1009.24,0.22838401739356914,Credit Card,Standard
100075,2024-10-13,2024,Oct,Q4,C2500,Asia-Pacific,India,Furniture,Chair,8,195,0.14,1341.6,271.71,167.7,0.2025268336314848,Credit Card,Same-Day
100076,2023-12-06,2023,Dec,Q4,C1553,Asia-Pacific,Australia,Furniture,Lamp,5,999,0.15,4245.75,1283.73,849.15,0.30235647412118,PayPal,Express
100077,2024-08-30,2024,Aug,Q3,C2021,Europe,Germany,Clothing,Jacket,10,244,0.11,2171.6,512.09,217.16,0.23581230429176647,PayPal,Express
100078,2023-10-06,2023,Oct,Q4,C2699,Europe,Spain,Electronics,Television,5,999,0.03,4845.15,1275.76,969.03,0.26330660557464686,Bank Transfer,Standard
100079,2024-02-29,2024,Feb,Q1,C2402,North America,Mexico,Clothing,Shoes,10,114,0,1140,319.22,114,0.28001754385964917,PayPal,Same-Day
100080,2024-08-05,2024,Aug,Q3,C2371,Asia-Pacific,China,Furniture,Chair,3,1251,0.1,3377.7,1097.78,1125.8999999999999,0.32500814163484026,PayPal,Express
100081,2024-07-17,2024,Jul,Q3,C2909,Europe,Italy,Clothing,Jacket,10,278,0.28,2001.6,237.01,200.16,0.11841027178257395,Bank Transfer,Standard
100082,2023-02-06,2023,Feb,Q1,C1766,South America,Argentina,Clothing,Shoes,3,163,0.13,425.43,67.65,141.81,0.15901558423242368,Credit Card,Standard
100083,2023-08-16,2023,Aug,Q3,C2942,Asia-Pacific,China,Electronics,Laptop,2,1360,0.09,2475.2,396.76,1237.6,0.16029411764705884,Bank Transfer,Standard
100084,2024-04-12,2024,Apr,Q2,C1841,Europe,France,Electronics,Tablet,1,1663,0.29,1180.73,196.49,1180.73,0.16641399811980725,Bank Transfer,Standard
100085,2023-04-27,2023,Apr,Q2,C2736,Europe,Italy,Electronics,Laptop,5,730,0.29,2591.5,352.98,518.3,0.13620683002122325,PayPal,Same-Day
100086,2023-09-11,2023,Sep,Q3,C1707,Asia-Pacific,Japan,Furniture,Sofa,8,135,0.11,961.2,263,120.15,0.2736163129421556,PayPal,Express
100087,2024-08-21,2024,Aug,Q3,C1799,Asia-Pacific,Australia,Furniture,Chair,5,373,0.27,1361.45,435.89,272.29,0.3201659994858423,Credit Card,Same-Day
100088,2023-04-27,2023,Apr,Q2,C1638,Asia-Pacific,Australia,Furniture,Chair,6,470,0.13,2453.4,640.9,408.90000000000003,0.26122931442080377,Bank Transfer,Same-Day
100089,2024-11-06,2024,Nov,Q4,C1674,Europe,Germany,Clothing,Shoes,8,89,0.03,690.64,271.69,86.33,0.39338874087802617,PayPal,Express
100090,2024-08-08,2024,Aug,Q3,C1750,Asia-Pacific,Australia,Clothing,Jacket,9,17,0.14,131.58,26.52,14.620000000000001,0.2015503875968992,PayPal,Express
100091,2024-04-12,2024,Apr,Q2,C1994,South America,Chile,Electronics,Laptop,9,1898,0.03,14273.150400000008,2719.01,1585.905600000001,0.1904982378662526,Bank Transfer,Express
100092,2023-06-13,2023,Jun,Q2,C1935,South America,Chile,Clothing,Pants,9,262,0.24,1792.08,609.47,199.12,0.34009084415874297,PayPal,Same-Day
100093,2024-05-24,2024,May,Q2,C2752,North America,Mexico,Electronics,Laptop,7,1414,0.21,7819.42,2655.02,1117.06,0.33954180744863427,Credit Card,Standard
100094,2024-11-02,2024,Nov,Q4,C1212,Asia-Pacific,India,Clothing,Shirt,1,166,0.2,132.8,28.47,132.8,0.2143825301204819,PayPal,Standard
100095,2024-06-14,2024,Jun,Q2,C1500,North America,United States,Furniture,Chair,4,807,0.11,2872.92,509.88,718.23,0.17747796666805898,Credit Card,Standard
100096,2023-06-19,2023,Jun,Q2,C1802,Asia-Pacific,China,Electronics,Tablet,5,1697,0.26,6278.9,1591.1,1255.78,0.2534042587077354,PayPal,Standard
100097,2023-08-06,2023,Aug,Q3,C2316,North America,Canada,Electronics,Laptop,6,1058,0.09,5776.68,1301.54,962.7800000000001,0.22530934723751359,Bank Transfer,Express
100098,2024-11-21,2024,Nov,Q4,C2633,North America,Canada,Electronics,Smartphone,8,753,0.24,4578.24,643.27,572.28,0.14050595862165374,Credit Card,Standard
100099,2024-09-30,2024,Sep,Q3,C2677,South America,Argentina,Clothing,Pants,2,21,0.29,46.4384,9.6599,23.2192,0.2080153493660419,Credit Card,Standard
100100,2023-05-28,2023,May,Q2,C1810,Europe,Italy,Clothing,Shoes,5,167,0.18,684.7,116.71,136.94,0.17045421352417114,Bank Transfer,Standard
100101,2024-08-12,2024,Aug,Q3,C1993,Europe,Italy,Electronics,Laptop,2,443,0.26,655.64,205.34,327.82,0.3131901653346349,Credit Card,Express
100102,2024-02-09,2024,Feb,Q1,C2255,Europe,France,Clothing,Jacket,8,93,0.15,632.4,249.18,79.05,0.394022770398482,Credit Card,Express
100103,2024-04-26,2024,Apr,Q2,C1001,North America,United States,Furniture,Chair,6,776,0.14,4004.16,482.47,667.36,0.12049218812435068,PayPal,Standard
100104,2023-04-20,2023,Apr,Q2,C1598,Asia-Pacific,Japan,Electronics,Laptop,7,1485,0,10395,2137.5,1485,0.20562770562770563,PayPal,Standard
100105,2023-07-29,2023,Jul,Q3,C2193,South America,Chile,Electronics,Smartphone,2,1449,0.2,2318.4,742.25,1159.2,0.3201561421670117,PayPal,Same-Day
100106,2023-01-10,2023,Jan,Q1,C2558,Asia-Pacific,South Korea,Clothing,Pants,6,172,0.25,774,220.03,129,0.2842764857881137,Bank Transfer,Same-Day
100107,2023-08-29,2023,Aug,Q3,C1276,South America,Chile,Furniture,Chair,4,1364,0.28,3928.32,746.54,982.08,0.19004052623004233,PayPal,Standard
100108,2023-01-18,2023,Jan,Q1,C1695,North America,Mexico,Furniture,Sofa,5,268,0.24,1018.4,214.56,203.68,0.21068342498036136,PayPal,Express
100109,2024-01-20,2024,Jan,Q1,C2858,Europe,Italy,Electronics,Smartphone,9,861,0.21,6121.71,1929.21,680.19,0.315142337680158,Credit Card,Same-Day
100110,2023-06-07,2023,Jun,Q2,C1796,Europe,France,Electronics,Tablet,6,370,0.07,2064.6,657.2,344.09999999999997,0.31831831831831836,Credit Card,Same-Day
100111,2024-11-22,2024,Nov,Q4,C2489,South America,Brazil,Clothing,Jacket,8,156,0.28,898.56,290.11,112.32,0.32286102207977213,Bank Transfer,Standard
100112,2023-10-11,2023,Oct,Q4,C1159,North America,United States,Clothing,Shoes,5,219,0.24,832.2,270.45,166.44,0.32498197548666186,PayPal,Same-Day
100113,2023-06-26,2023,Jun,Q2,C2080,Asia-Pacific,Australia,Electronics,Smartphone,10,583,0.16,4897.2,1551.06,489.71999999999997,0.3167238421955403,PayPal,Same-Day
100114,2024-03-05,2024,Mar,Q1,C2926,South America,Chile,Electronics,Television,5,1588,0.3,5558,1965.13,1111.6,0.3535678301547319,Bank Transfer,Same-Day
100115,2024-05-18,2024,May,Q2,C2026,Europe,Italy,Furniture,Table,6,1366,0.08,7540.32,2202.97,1256.72,0.2921586882254334,Bank Transfer,Same-Day
100116,2023-08-28,2023,Aug,Q3,C1114,North America,Canada,Furniture,Lamp,3,1445,0.28,3121.2,802.98,1040.3999999999999,0.25726643598615917,Credit Card,Same-Day
100117,2023-01-06,2023,Jan,Q1,C1965,Asia-Pacific,India,Clothing,Jacket,5,298,0.09,1355.9,377.35,271.18,0.2783022346780736,PayPal,Standard
100118,2023-03-31,2023,Mar,Q1,C2049,North America,Canada,Furniture,Chair,6,703,0.04,4049.28,878.75,674.88,0.21701388888888887,PayPal,Same-Day
100119,2024-12-15,2024,Dec,Q4,C2052,Asia-Pacific,Australia,Clothing,Shirt,7,73,0.24,388.36,152.33,55.480000000000004,0.39223915954269234,PayPal,Same-Day
100120,2023-09-07,2023,Sep,Q3,C1951,South America,Argentina,Clothing,Shoes,6,19,0.29,80.94,25.01,13.49,0.30899431677786016,Credit Card,Express
100121,2024-03-22,2024,Mar,Q1,C2439,South America,Brazil,Furniture,Sofa,1,1422,0.17,1180.26,417.47,1180.26,0.35371019944757937,Bank Transfer,Standard
100122,2023-11-04,2023,Nov,Q4,C2492,South America,Argentina,Electronics,Television,7,802,0.17,4659.62,838.07,665.66,0.17985801417282957,Credit Card,Same-Day
100123,2023-01-25,2023,Jan,Q1,C1396,South America,Argentina,Furniture,Table,9,820,0.25,5535,1978.76,615,0.35749954832881664,Credit Card,Same-Day
100124,2024-04-09,2024,Apr,Q2,C1926,North America,Mexico,Furniture,Chair,8,1183,0.12,8328.32,1353.98,1041.04,0.16257540536386691,Bank Transfer,Express
100125,2024-01-04,2024,Jan,Q1,C2329,North America,United States,Furniture,Sofa,5,271,0.16,1138.2,156.34,227.64000000000001,0.13735723071516429,Credit Card,Same-Day
100126,2024-03-15,2024,Mar,Q1,C2219,Europe,United Kingdom,Electronics,Smartphone,3,1496,0.02,4398.24,1148.53,1466.08,0.2611339990541671,Bank Transfer,Standard
100127,2023-05-01,2023,May,Q2,C2901,Asia-Pacific,Japan,Electronics,Tablet,5,215,0.19,870.75,162.98,174.15,0.1871719781797301,PayPal,Express
100128,2023-09-13,2023,Sep,Q3,C2127,North America,Mexico,Electronics,Laptop,1,738,0.01,730.62,281.53,730.62,0.38533026744408855,Bank Transfer,Standard
100129,2023-11-10,2023,Nov,Q4,C1721,South America,Argentina,Clothing,Pants,1,169,0.08,155.48,34.79,155.48,0.22375868278878314,Bank Transfer,Standard
100130,2023-10-22,2023,Oct,Q4,C1785,Europe,Italy,Furniture,Sofa,7,453,0.28,2283.12,552.88,326.15999999999997,0.2421598514313746,Credit Card,Express
100131,2023-06-07,2023,Jun,Q2,C2948,Asia-Pacific,South Korea,Clothing,Shirt,5,163,0.29,578.65,75.84,115.72999999999999,0.13106368270975546,PayPal,Standard
100132,2023-10-28,2023,Oct,Q4,C1232,North America,Canada,Electronics,Television,8,230,0.15,1564,278.93,195.5,0.17834398976982097,Bank Transfer,Standard
100133,2024-05-17,2024,May,Q2,C2609,South America,Chile,Furniture,Sofa,9,1344,0.02,11854.08,4231.883900000002,1317.12,0.3569980884218768,PayPal,Standard
100134,2023-11-27,2023,Nov,Q4,C2706,Asia-Pacific,Japan,Clothing,Shoes,2,117,0.11,208.26,36.68,104.13,0.17612599635071546,Bank Transfer,Express
100135,2024-03-04,2024,Mar,Q1,C2668,Asia-Pacific,China,Clothing,Shirt,6,226,0.01,1342.44,330.27,223.74,0.24602216858854026,PayPal,Standard
100136,2024-08-02,2024,Aug,Q3,C2567,South America,Brazil,Clothing,Jacket,1,212,0.03,205.64,47.06,205.64,0.22884652791285745,Credit Card,Express
100137,2024-07-10,2024,Jul,Q3,C2199,Europe,Germany,Electronics,Smartphone,5,1339,0.13,5824.65,2031.79,1164.9299999999998,0.34882610972333106,PayPal,Standard
100138,2024-05-14,2024,May,Q2,C1513,Europe,Italy,Electronics,Television,3,920,0.28,1987.2,637.65,662.4,0.32087862318840576,PayPal,Express
100139,2023-07-01,2023,Jul,Q3,C1139,North America,United States,Electronics,Smartphone,9,1164,0.23,8066.52,2416.01,896.2800000000001,0.29951081755205466,PayPal,Express
100140,2024-11-01,2024,Nov,Q4,C1700,South America,Chile,Electronics,Laptop,9,1255,0.06,10617.3,4020.74,1179.6999999999998,0.3786970322021606,PayPal,Express
100141,2023-02-22,2023,Feb,Q1,C1767,Europe,France,Electronics,Laptop,4,1211,0.13,4214.28,585.61,1053.57,0.13895849350304204,PayPal,Same-Day
100142,2023-11-02,2023,Nov,Q4,C2688,North America,Canada,Electronics,Laptop,7,1197,0.23,6451.83,1051.01,921.6899999999999,0.16290106837904905,PayPal,Standard
100143,2024-10-05,2024,Oct,Q4,C1557,South America,Chile,Furniture,Table,7,1026,0.22,5601.96,2178.57,800.28,0.3888942441574021,PayPal,Express
100144,2024-03-13,2024,Mar,Q1,C2832,North America,United States,Electronics,Laptop,8,1257,0.01,9955.44,1014.09,1244.43,0.10186290108724476,Bank Transfer,Standard
100145,2023-01-05,2023,Jan,Q1,C1085,Europe,United Kingdom,Electronics,Television,1,521,0.02,510.58,124.93,510.58,0.24468251792079598,PayPal,Standard
100146,2023-11-12,2023,Nov,Q4,C1773,South America,Argentina,Clothing,Shirt,10,293,0.12,2578.4,425.12,257.84000000000003,0.1648774433757369,PayPal,Same-Day
100147,2024-02-01,2024,Feb,Q1,C1713,North America,United States,Furniture,Table,5,973,0.07,4524.45,813.88,904.89,0.17988484788206302,PayPal,Express
100148,2023-01-28,2023,Jan,Q1,C1701,Asia-Pacific,China,Clothing,Jacket,2,241,0.14,414.52,57.77,207.26,0.1393660137025958,Credit Card,Express
100149,2023-10-24,2023,Oct,Q4,C2901,South America,Argentina,Clothing,Shirt,5,113,0.18,463.3,127.27,92.66,0.27470321605870923,Credit Card,Express
100150,2024-01-22,2024,Jan,Q1,C1486,North America,Mexico,Electronics,Television,2,1080,0.29,1533.6,537.55,766.8,0.3505151278038602,Credit Card,Standard
100151,2023-06-12,2023,Jun,Q2,C2729,South America,Argentina,Electronics,Laptop,3,480,0.16,1209.6,450.06,403.2,0.3720734126984127,Bank Transfer,Standard
100152,2024-07-21,2024,Jul,Q3,C1404,Asia-Pacific,Australia,Clothing,Shirt,3,106,0.17,263.94,90.43,87.98,0.3426157460028795,PayPal,Same-Day
100153,2024-04-04,2024,Apr,Q2,C2032,South America,Brazil,Electronics,Tablet,4,1345,0.24,4088.8,1114.52,1022.2,0.27257875171199375,Credit Card,Standard
100154,2024-01-31,2024,Jan,Q1,C2254,Europe,Spain,Furniture,Chair,9,374,0.22,2625.48,912.53,291.72,0.34756692109633286,Credit Card,Express
100155,2023-06-01,2023,Jun,Q2,C2169,North America,Mexico,Furniture,Table,3,778,0.15,1983.9,311.21,661.3000000000001,0.15686778567468115,PayPal,Same-Day
100156,2023-10-07,2023,Oct,Q4,C2708,Europe,Germany,Clothing,Pants,10,200,0.21,1580,176.48,158,0.11169620253164557,Bank Transfer,Express
100157,2023-11-16,2023,Nov,Q4,C2007,North America,Canada,Clothing,Pants,8,95,0.25,570,192.83,71.25,0.3382982456140351,PayPal,Same-Day
100158,2024-12-15,2024,Dec,Q4,C1682,North America,United States,Clothing,Pants,8,216,0.15,1468.8,358.77,183.6,0.24426062091503267,Bank Transfer,Express
100159,2024-03-02,2024,Mar,Q1,C1324,North America,Canada,Electronics,Tablet,10,1802,0.27,13154.6,3361.3,1315.46,0.2555227829048394,Bank Transfer,Express
100160,2023-10-25,2023,Oct,Q4,C1412,Europe,United Kingdom,Furniture,Sofa,2,199,0.25,298.5,106.37,149.25,0.3563484087102178,Credit Card,Express
100161,2024-02-18,2024,Feb,Q1,C2412,South America,Chile,Clothing,Shirt,4,151,0.09,549.64,104.65,137.41,0.1903973509933775,Credit Card,Same-Day
100162,2023-03-22,2023,Mar,Q1,C2640,Europe,Spain,Furniture,Sofa,1,1340,0.12,1179.2,452.43,1179.2,0.38367537313432837,Bank Transfer,Same-Day
100163,2024-12-13,2024,Dec,Q4,C1664,North America,United States,Electronics,Smartphone,8,556,0.04,4270.08,791.57,533.76,0.18537591801558753,Credit Card,Express
